"Q.Id","Q.CreationDate","A.AcceptedAnswerId","A.OwnerUserId","A.LastEditorUserId","A.Score","A.CommentCount","A.CreationDate"
10098533,"2012-04-11 01:00:00","None","344821","344821",31,8,"2012-04-11 02:00:03"
10086380,"2012-04-10 09:43:06","None","578480","578480",5,4,"2012-04-11 06:45:50"
10103744,"2012-04-11 10:00:02","None","1288294","None",0,1,"2012-04-11 11:51:12"
10067118,"2012-04-08 22:36:51","None","86643","86643",3,0,"2012-04-11 13:17:11"
10090514,"2012-04-10 14:18:51","None","567620","567620",5,1,"2012-04-12 02:47:43"
10112678,"2012-04-11 19:33:22","None","895544","None",21,2,"2012-04-12 05:24:31"
10115525,"2012-04-11 23:43:36","None","1060350","None",4,0,"2012-04-12 05:34:53"
10119913,"2012-04-12 08:20:56","None","546084","None",24,0,"2012-04-12 08:55:59"
6483690,"2011-06-26 11:45:35","None","563904","None",2,0,"2012-04-12 13:48:50"
10136470,"2012-04-13 06:54:02","None","1025391","1025391",58,5,"2012-04-13 08:12:55"
10143174,"2012-04-13 14:54:40","None","235617","None",7,2,"2012-04-13 15:24:32"
10125167,"2012-04-12 14:03:16","None","1152000","None",0,1,"2012-04-13 19:24:51"
10148488,"2012-04-13 21:22:14","None","567620","None",4,5,"2012-04-13 21:25:38"
10150653,"2012-04-14 02:58:08","None","2683","None",3,8,"2012-04-14 03:01:16"
10153728,"2012-04-14 00:44:34","None","1208289","None",6,0,"2012-04-14 13:45:33"
10154922,"2012-04-14 15:46:11","None","235617","460846",8,3,"2012-04-14 15:53:34"
9996327,"2012-04-03 15:17:29","None","518804","518804",3,0,"2012-04-15 16:04:11"
10166158,"2012-04-15 21:12:57","None","344821","None",2,1,"2012-04-15 21:31:19"
10128349,"2012-04-12 17:05:32","None","938236","938236",0,0,"2012-04-16 14:31:36"
10176797,"2012-04-16 15:11:33","None","1133019","None",1,4,"2012-04-16 15:20:55"
10180515,"2012-04-16 19:38:55","None","722121","722121",4,0,"2012-04-16 19:45:09"
10183409,"2012-04-17 00:13:49","None","567620","567620",0,5,"2012-04-17 02:20:47"
10186085,"2012-04-17 06:15:10","None","229794","None",4,4,"2012-04-17 07:19:01"
10187924,"2012-04-17 08:44:03","None","636656","None",1,0,"2012-04-17 10:25:45"
10189843,"2012-04-17 10:54:46","None","188595","-1",1,4,"2012-04-17 11:24:03"
10190241,"2012-04-17 11:21:10","None","1201272","None",0,1,"2012-04-17 11:32:00"
10182804,"2012-04-16 22:50:31","None","190277","190277",8,3,"2012-04-17 14:30:30"
10193950,"2012-04-17 15:13:42","None","712603","712603",6,7,"2012-04-17 15:29:30"
10204933,"2012-04-18 07:34:46","None","194639","None",2,0,"2012-04-18 07:58:19"
10189953,"2012-04-17 11:01:28","None","1266303","1266303",1,1,"2012-04-18 11:42:15"
10212777,"2012-04-18 15:31:17","None","980833","980833",9,5,"2012-04-18 15:43:32"
10008966,"2012-04-04 10:03:42","None","1332690","1332690",7,1,"2012-04-19 03:59:05"
10220790,"2012-04-19 02:19:21","None","25990","None",3,8,"2012-04-19 05:13:00"
10223314,"2012-04-19 07:17:34","None","761350","None",10,2,"2012-04-19 07:38:37"
10217240,"2012-04-18 20:12:59","None","915743","None",1,0,"2012-04-19 10:04:17"
10233087,"2012-04-19 17:01:05","None","1036500","1036500",26,1,"2012-04-19 17:36:50"
10233737,"2012-04-19 17:43:39","None","86809","None",2,0,"2012-04-19 17:51:48"
10223786,"2012-04-19 07:51:32","None","1339221","None",1,0,"2012-04-19 19:50:54"
10240516,"2012-04-20 04:59:59","None","11858","None",2,2,"2012-04-20 06:49:19"
10240912,"2012-04-20 05:45:51","None","977098","472927",28,5,"2012-04-20 07:40:20"
10249942,"2012-04-20 16:26:46","None","344821","None",2,0,"2012-04-20 18:23:59"
10253759,"2012-04-20 21:24:43","None","160314","None",8,0,"2012-04-20 21:45:46"
7937826,"2011-10-29 08:39:27","None","1240105","None",0,0,"2012-04-21 05:52:19"
10255399,"2012-04-21 01:27:20","None","1266303","None",1,1,"2012-04-21 11:29:07"
10259907,"2012-04-21 14:41:06","None","1285418","1450",28,6,"2012-04-21 14:45:53"
10260953,"2012-04-21 16:40:58","None","577088","825789",1,2,"2012-04-21 16:50:29"
10261187,"2012-04-21 17:08:00","None","18601","None",1,0,"2012-04-21 17:16:28"
10260736,"2012-04-21 16:13:16","None","241379","None",4,0,"2012-04-22 03:53:18"
7945448,"2011-10-30 14:26:06","None","1024832","1024832",1,0,"2012-04-22 05:26:46"
10262600,"2012-04-21 20:14:01","None","1134940","1134940",32,5,"2012-04-22 09:18:02"
10268044,"2012-04-22 00:45:28","None","163740","163740",8,1,"2012-04-22 17:31:56"
8393966,"2011-12-06 00:47:38","None","424435","None",0,0,"2012-04-22 17:37:28"
10268689,"2012-04-22 14:16:21","None","1855677","1855677",12,5,"2012-04-22 18:47:57"
10249501,"2012-04-20 15:56:13","None","864880","-1",2,0,"2012-04-23 13:22:26"
9161273,"2012-02-06 14:04:40","None","210673","210673",4,4,"2012-04-23 14:32:33"
10278581,"2012-04-23 10:11:56","None","1060350","None",2,0,"2012-04-23 17:34:53"
10294351,"2012-04-24 08:29:36","None","36537","None",2,0,"2012-04-24 08:41:58"
10306380,"2012-04-24 21:37:50","None","324364","None",9,1,"2012-04-24 21:53:31"
10304280,"2012-04-24 18:56:11","None","163740","None",1,3,"2012-04-25 02:45:09"
10119020,"2012-04-12 07:09:40","None","346382","None",5,0,"2012-04-25 03:19:52"
10310292,"2012-04-25 06:15:18","None","401461","None",4,1,"2012-04-25 07:43:58"
10312305,"2012-04-25 08:50:24","None","299000","None",1,4,"2012-04-25 09:56:05"
10317885,"2012-04-25 14:33:17","None","155020","155020",128,5,"2012-04-25 15:20:26"
10308784,"2012-04-25 03:02:40","None","884269","None",1,0,"2012-04-25 16:18:44"
10318884,"2012-04-25 15:33:21","None","166749","None",3,0,"2012-04-25 22:56:29"
10327260,"2012-04-26 04:28:45","None","831317","None",0,0,"2012-04-26 05:49:42"
10329502,"2012-04-26 08:10:21","None","1129973","None",2,1,"2012-04-26 08:42:57"
9814889,"2012-03-22 00:35:10","None","155020","-1",0,3,"2012-04-26 17:28:45"
10344930,"2012-04-27 04:55:16","None","872131","None",0,2,"2012-04-27 06:01:17"
10292422,"2012-04-24 05:53:48","None","802124","None",1,0,"2012-04-27 08:41:54"
10347625,"2012-04-27 08:49:50","None","None","None",3,2,"2012-04-27 09:32:06"
10349998,"2012-04-27 11:42:27","None","1317423","None",8,2,"2012-04-27 11:51:15"
10307194,"2012-04-24 23:00:40","None","1235055","241899",7,4,"2012-04-27 15:02:21"
10177330,"2012-04-16 15:44:47","None","1361822","3190576",23,2,"2012-04-27 19:59:29"
10357299,"2012-04-27 20:19:28","None","915743","None",5,1,"2012-04-27 20:39:36"
10358080,"2012-04-27 21:25:36","None","58635","None",0,0,"2012-04-27 21:44:21"
10304109,"2012-04-24 18:45:36","None","1332690","1332690",29,2,"2012-04-27 22:27:07"
10365616,"2012-04-28 16:58:00","None","1060350","None",4,0,"2012-04-28 21:21:45"
10367579,"2012-04-28 21:13:44","None","895544","None",5,0,"2012-04-28 21:24:00"
10368721,"2012-04-29 00:28:04","None","677667","677667",4,1,"2012-04-29 01:14:44"
9693792,"2012-03-13 23:29:54","None","1363934","None",1,0,"2012-04-29 08:38:38"
10371953,"2012-04-29 11:58:59","None","166749","166749",6,1,"2012-04-29 13:00:04"
10373317,"2012-04-29 15:22:51","None","166749","None",3,10,"2012-04-29 16:14:55"
10378601,"2012-04-30 04:45:32","None","567620","567620",5,6,"2012-04-30 04:57:07"
10376974,"2012-04-29 23:40:39","None","1334399","None",2,2,"2012-04-30 06:56:36"
10231380,"2012-04-19 15:22:55","None","1134940","1134940",5,1,"2012-04-30 14:34:33"
10394615,"2012-05-01 07:05:10","None","1235055","None",7,8,"2012-05-01 12:21:38"
588438,"2009-02-25 23:42:07","None","128370","None",1,0,"2009-06-24 21:23:53"
10419437,"2012-05-02 18:19:21","None","581135","None",4,0,"2012-05-02 20:58:50"
10416343,"2012-05-02 14:59:05","None","581135","None",1,0,"2012-05-02 21:03:32"
10423604,"2012-05-03 00:31:40","None","1855677","269476",10,0,"2012-05-03 01:14:06"
10406959,"2012-05-02 02:31:43","None","844267","None",0,0,"2012-05-03 12:50:51"
10433177,"2012-05-03 14:11:13","None","572670","572670",2,2,"2012-05-03 14:21:03"
10436874,"2012-05-03 17:59:19","None","1334399","-1",4,2,"2012-05-03 18:05:37"
10411859,"2012-05-02 10:24:54","None","28006","28006",1,1,"2012-05-03 18:53:40"
10108184,"2012-04-11 14:39:05","None","1367812","None",2,2,"2012-05-03 20:54:48"
10444344,"2012-05-04 07:12:06","None","683735","41782",4,0,"2012-05-04 07:39:09"
8152088,"2011-11-16 00:59:46","None","321143","-1",14,0,"2012-05-04 20:38:47"
10459384,"2012-05-05 06:12:48","None","211885","None",3,1,"2012-05-05 08:30:12"
10408791,"2012-05-02 06:32:24","None","1371497","None",0,0,"2012-05-05 19:08:37"
10464718,"2012-05-05 18:23:27","None","191215","None",2,2,"2012-05-05 22:09:48"
10467265,"2012-05-06 01:04:57","None","1029012","None",1,2,"2012-05-06 05:47:50"
10469837,"2012-05-06 10:28:04","None","673735","673735",3,2,"2012-05-06 11:49:56"
10470554,"2012-05-06 00:38:36","None","130964","None",1,1,"2012-05-06 12:52:36"
10469287,"2012-05-06 08:45:25","None","1060350","None",3,2,"2012-05-06 14:50:10"
10472681,"2012-05-06 17:33:44","None","66549","66549",9,0,"2012-05-07 10:52:40"
10479353,"2012-05-07 09:02:28","None","540873","540873",25,4,"2012-05-07 17:32:58"
10485809,"2012-05-07 16:40:38","None","365872","None",3,1,"2012-05-07 21:23:30"
10490039,"2012-05-07 22:31:46","None","103167","None",1,1,"2012-05-07 22:59:34"
10477598,"2012-05-07 06:23:24","None","661773","661773",2,0,"2012-05-08 00:41:33"
10503193,"2012-05-08 17:09:48","None","654222","654222",1,4,"2012-05-08 17:30:33"
10508168,"2012-05-09 00:00:22","None","324364","None",5,3,"2012-05-09 01:29:35"
10508474,"2012-05-09 00:49:57","None","190277","None",1,1,"2012-05-09 02:23:23"
10509167,"2012-05-09 02:39:45","None","771837","None",2,0,"2012-05-09 02:49:21"
10502991,"2012-05-08 16:57:33","None","1253677","None",1,0,"2012-05-09 04:50:59"
10503816,"2012-05-08 17:52:50","None","66549","None",1,1,"2012-05-09 14:44:50"
10518329,"2012-05-09 14:39:07","None","166749","None",3,0,"2012-05-09 16:10:13"
10520196,"2012-05-09 16:25:35","None","235019","None",6,0,"2012-05-09 22:34:05"
10526579,"2012-05-10 01:59:31","None","1365759","247542",92,15,"2012-05-10 05:23:46"
10533233,"2012-05-10 11:40:55","None","951860","-1",41,7,"2012-05-10 13:26:46"
10534219,"2012-05-10 00:40:25","None","886407","886407",2,8,"2012-05-10 13:47:39"
10542937,"2012-05-10 22:15:26","None","247985","247985",20,1,"2012-05-10 22:17:36"
10543855,"2012-05-11 00:22:52","None","1383593","None",1,1,"2012-05-11 00:34:42"
10545646,"2012-05-11 04:54:33","None","572670","572670",4,0,"2012-05-11 12:41:37"
10466260,"2012-05-05 21:49:08","None","1377346","None",1,0,"2012-05-11 12:51:28"
10555800,"2012-05-11 17:13:56","None","324364","None",5,0,"2012-05-11 17:25:56"
10564128,"2012-05-12 13:21:57","None","666596","None",2,0,"2012-05-12 14:25:51"
10215991,"2012-04-18 18:51:35","None","630324","None",8,7,"2012-05-12 15:36:45"
10093527,"2012-04-10 17:29:28","None","80003","None",2,0,"2012-05-12 21:00:23"
10562398,"2012-05-12 09:10:03","None","190277","None",2,1,"2012-05-12 23:20:16"
10568331,"2012-05-12 23:57:07","None","968064","None",1,0,"2012-05-13 00:06:32"
10565868,"2012-05-12 17:18:08","None","66549","3100115",185,4,"2012-05-13 02:44:36"
10571265,"2012-05-13 11:16:51","None","1336150","-1",4,3,"2012-05-13 11:21:06"
10570042,"2012-05-13 07:35:11","None","992005","992005",6,4,"2012-05-13 11:40:41"
10572955,"2012-05-13 15:32:21","None","1334399","None",1,0,"2012-05-13 17:48:20"
10573870,"2012-05-13 17:46:39","None","1371497","None",2,4,"2012-05-13 22:06:09"
10565544,"2012-05-12 16:38:25","None","974789","974789",3,2,"2012-05-14 03:03:24"
10587443,"2012-05-14 16:35:02","None","1310991","1310991",1,1,"2012-05-14 17:21:16"
10592605,"2012-05-15 00:06:11","None","1365759","None",133,1,"2012-05-15 01:41:50"
10588862,"2012-05-14 18:21:20","None","915743","None",6,0,"2012-05-15 09:58:07"
10614754,"2012-05-16 08:32:04","None","561309","None",35,1,"2012-05-16 08:35:02"
10608955,"2012-05-15 21:13:49","None","1060350","1060350",5,11,"2012-05-16 09:55:59"
10617272,"2012-05-16 11:08:09","None","717214","717214",1,0,"2012-05-16 11:38:32"
10626134,"2012-05-16 20:23:43","None","344821","None",7,0,"2012-05-16 20:25:42"
10611412,"2012-05-16 02:54:18","None","1188433","None",2,1,"2012-05-17 02:16:50"
10639151,"2012-05-17 15:54:33","None","1207258","None",0,7,"2012-05-17 16:09:16"
10639607,"2012-05-17 16:24:11","None","227884","227884",2,1,"2012-05-17 16:29:53"
10498477,"2012-05-08 00:19:16","None","61855","None",7,3,"2012-05-17 17:13:06"
10516691,"2012-05-09 13:01:22","None","None","None",1,0,"2012-05-18 07:47:12"
10653860,"2012-05-18 13:48:05","None","572670","1366654",2,4,"2012-05-18 13:54:32"
9859973,"2012-03-25 00:04:26","None","1216932","-1",2,0,"2012-05-18 21:31:28"
10661581,"2012-05-19 01:27:24","None","1404505","None",4,1,"2012-05-19 02:48:20"
10660875,"2012-05-18 23:14:49","None","367273","367273",-1,1,"2012-05-19 10:08:34"
10665043,"2012-05-19 00:08:29","None","390720","None",1,2,"2012-05-19 12:11:42"
10665940,"2012-05-19 14:17:58","None","1283716","None",0,1,"2012-05-19 14:44:14"
10649872,"2012-05-18 09:15:58","None","1089189","None",1,2,"2012-05-19 15:08:57"
10667297,"2012-05-19 17:12:35","None","1092746","None",5,1,"2012-05-19 18:40:33"
10666332,"2012-05-19 15:05:39","None","959075","None",1,1,"2012-05-20 07:46:43"
10675349,"2012-05-20 16:54:23","None","327301","327301",0,1,"2012-05-20 17:20:45"
10640755,"2012-05-17 17:44:18","None","1175101","892313",18,0,"2012-05-20 19:51:37"
10671968,"2012-05-20 08:32:51","None","1060350","None",1,0,"2012-05-20 19:53:40"
10669282,"2012-05-19 22:28:03","None","333700","None",1,0,"2012-05-21 04:17:35"
10691341,"2012-05-21 19:26:24","None","834939","None",2,2,"2012-05-22 08:21:31"
10711683,"2012-05-22 23:53:46","None","1385941","1385941",4,1,"2012-05-23 00:13:41"
10716464,"2012-05-23 08:44:31","None","1175101","-1",16,3,"2012-05-23 11:27:11"
10692428,"2012-05-21 20:49:55","None","977102","None",11,0,"2012-05-23 13:58:48"
10721299,"2012-05-23 13:46:43","None","429846","429846",7,8,"2012-05-23 14:19:19"
10722064,"2012-05-23 14:27:54","None","28760","480529",24,9,"2012-05-23 14:42:13"
9785416,"2012-03-20 10:56:43","None","488124","None",2,0,"2012-05-23 17:04:16"
10724037,"2012-05-23 16:21:06","None","70915","70915",5,1,"2012-05-23 17:41:14"
10725256,"2012-05-23 17:50:22","None","208339","None",3,0,"2012-05-23 20:02:12"
10714895,"2012-05-23 06:54:19","None","501663","501663",4,1,"2012-05-23 20:40:14"
10727526,"2012-05-23 20:43:08","None","238419","None",1,2,"2012-05-23 21:26:20"
10711073,"2012-05-22 22:30:49","None","1888017","None",0,0,"2012-05-23 22:11:41"
1072097,"2009-07-02 02:10:37","None","5856","5856",42,3,"2009-07-02 07:28:36"
10732027,"2012-05-24 06:08:29","None","64376","None",19,0,"2012-05-24 08:33:53"
10549976,"2012-05-11 10:52:31","None","9784","9784",0,0,"2012-05-24 14:25:00"
10743807,"2012-05-24 19:08:46","None","1396128","1396128",4,4,"2012-05-24 19:40:11"
10684852,"2012-05-21 00:00:43","None","1415677","1415677",2,1,"2012-05-25 17:31:56"
10734728,"2012-05-24 09:29:32","None","1260229","None",4,4,"2012-05-26 18:33:00"
10773958,"2012-05-27 00:24:41","None","241899","241899",5,7,"2012-05-27 13:52:20"
10765546,"2012-05-26 10:44:28","None","365872","-1",5,0,"2012-05-27 14:48:27"
10775133,"2012-05-27 15:32:17","None","683735","None",4,5,"2012-05-27 15:58:25"
10775460,"2012-05-27 16:21:12","None","169781","None",2,1,"2012-05-27 19:37:00"
10776673,"2012-05-27 19:35:29","None","1041692","1041692",6,2,"2012-05-27 19:55:00"
10775365,"2012-05-27 16:05:34","None","1334399","None",1,2,"2012-05-28 10:14:22"
10782403,"2012-05-28 09:37:00","None","1315767","None",35,0,"2012-05-28 12:04:48"
10792201,"2012-05-29 01:41:17","None","224671","None",2,1,"2012-05-29 01:55:12"
10796890,"2012-05-29 10:00:21","None","303612","303612",3,2,"2012-05-29 10:10:42"
10798963,"2012-05-29 00:15:56","None","602276","None",10,2,"2012-05-29 12:43:10"
10708852,"2012-05-22 19:33:16","None","744239","744239",2,7,"2012-05-29 14:01:45"
10799021,"2012-05-29 00:19:17","None","214010","214010",4,0,"2012-05-29 14:11:07"
10802087,"2012-05-29 15:23:14","None","643500","None",2,2,"2012-05-29 15:27:34"
10803279,"2012-05-29 16:40:28","None","677667","677667",1,0,"2012-05-29 16:45:29"
10804960,"2012-05-29 18:52:36","None","802117","None",3,6,"2012-05-29 18:56:34"
10798958,"2012-05-29 00:15:51","None","1129973","None",1,0,"2012-05-29 21:36:17"
10793034,"2012-05-29 04:22:40","None","49329","49329",2,1,"2012-05-30 12:29:21"
10835644,"2012-05-31 14:30:39","None","653511","None",0,3,"2012-05-31 14:50:41"
10836363,"2012-05-31 15:14:04","None","1096545","None",0,1,"2012-05-31 15:36:39"
10860765,"2012-06-02 08:01:26","None","1060350","1060350",5,7,"2012-06-02 08:25:53"
10862904,"2012-06-02 14:02:11","None","491766","None",6,1,"2012-06-02 15:07:52"
10863732,"2012-06-02 15:48:10","None","568283","None",3,4,"2012-06-02 20:03:32"
10855461,"2012-06-01 18:22:21","None","97160","None",7,4,"2012-06-02 20:50:41"
10865372,"2012-06-02 19:40:11","None","1172002","None",18,0,"2012-06-02 22:39:37"
10860264,"2012-06-02 06:14:46","None","1266303","1266303",14,6,"2012-06-03 10:44:13"
10869816,"2012-06-03 11:13:03","None","1404505","None",0,0,"2012-06-03 12:31:24"
10868233,"2012-06-03 05:57:25","None","1266303","None",6,4,"2012-06-03 17:06:41"
10868282,"2012-06-03 06:09:40","None","1060350","None",1,0,"2012-06-03 18:34:12"
10874358,"2012-06-03 22:18:30","None","1266303","None",0,0,"2012-06-03 22:46:21"
10876399,"2012-06-04 04:42:51","None","1266303","None",1,1,"2012-06-04 10:09:28"
10879018,"2012-06-04 09:23:22","None","1266303","None",9,3,"2012-06-04 10:40:35"
10883370,"2012-06-04 14:53:13","None","176291","None",2,0,"2012-06-04 16:19:18"
10884822,"2012-06-04 16:37:00","None","1060350","1060350",3,6,"2012-06-04 20:20:10"
10757202,"2012-05-25 15:28:41","None","28760","28760",2,0,"2012-06-04 21:29:37"
7573747,"2011-09-27 18:11:26","None","1266303","None",0,1,"2012-06-04 21:38:14"
10881364,"2012-06-04 00:34:45","None","1060350","None",1,1,"2012-06-05 11:22:05"
10889371,"2012-06-04 22:38:43","None","348412","None",1,0,"2012-06-05 17:30:30"
10902784,"2012-06-05 18:28:13","None","563158","None",0,1,"2012-06-05 18:51:07"
10927288,"2012-06-07 07:15:35","None","1423280","1423280",3,3,"2012-06-07 07:19:57"
10933427,"2012-06-07 14:02:53","None","166749","166749",10,4,"2012-06-07 14:46:40"
10927874,"2012-06-07 07:59:15","None","1060350","None",0,0,"2012-06-07 14:54:24"
10935898,"2012-06-07 16:25:47","None","1412059","429846",1,8,"2012-06-07 16:31:44"
10939591,"2012-06-07 20:45:24","None","1855677","None",20,4,"2012-06-07 21:09:04"
10889298,"2012-06-04 22:29:06","None","415540","97160",2,0,"2012-06-07 22:22:06"
10936183,"2012-06-07 16:44:19","None","163740","163740",7,0,"2012-06-08 09:15:44"
10940483,"2012-06-07 22:00:24","None","166749","166749",7,2,"2012-06-08 13:34:11"
10927171,"2012-06-07 07:06:03","None","1320066","None",0,1,"2012-06-08 13:42:35"
10952199,"2012-06-08 15:56:57","None","229794","474349",8,4,"2012-06-08 16:23:36"
10953997,"2012-06-08 18:16:25","None","163740","None",3,5,"2012-06-08 18:31:34"
10959604,"2012-06-09 08:43:23","None","814164","387099",4,0,"2012-06-09 08:49:18"
10896649,"2012-06-05 03:22:56","None","1106391","None",2,0,"2012-06-10 07:16:32"
10975753,"2012-06-11 07:06:47","None","69893","69893",3,3,"2012-06-11 07:12:07"
10909271,"2012-06-06 06:38:36","None","1346276","-1",1,1,"2012-06-11 07:26:02"
10157806,"2012-04-14 22:16:16","None","1085483","-1",29,2,"2012-06-11 09:54:39"
10034161,"2012-04-05 18:43:55","None","415864","415864",11,4,"2012-06-12 14:21:56"
10999792,"2012-06-12 15:25:09","None","1415677","1415677",4,1,"2012-06-12 21:53:30"
10258094,"2012-04-21 10:23:13","None","397661","None",4,0,"2012-06-13 10:26:30"
11016881,"2012-06-13 14:19:29","None","149157","None",1,0,"2012-06-13 15:05:02"
11005529,"2012-06-12 22:01:02","None","1287834","1287834",7,5,"2012-06-14 04:03:30"
11031923,"2012-06-14 11:16:17","None","166749","166749",5,2,"2012-06-14 13:42:17"
11023411,"2012-06-13 21:15:30","None","166749","166749",46,4,"2012-06-14 15:04:49"
11017429,"2012-06-13 14:45:43","None","1235055","None",8,2,"2012-06-14 20:37:15"
11030253,"2012-06-14 09:28:19","None","1235055","None",14,0,"2012-06-14 21:18:36"
11044028,"2012-06-15 02:50:27","None","630752","630752",1,2,"2012-06-15 03:00:23"
11046173,"2012-06-15 07:13:30","None","1356382","None",8,3,"2012-06-15 12:48:17"
11056521,"2012-06-15 18:47:04","None","1342730","None",1,1,"2012-06-15 18:51:32"
8855640,"2012-01-13 18:51:57","None","155020","None",3,0,"2012-06-16 03:51:32"
11059925,"2012-06-16 01:01:07","None","755257","None",2,1,"2012-06-16 09:48:08"
11064525,"2012-06-16 14:59:06","None","1404505","1404505",2,5,"2012-06-16 15:26:47"
11067156,"2012-06-16 21:27:57","None","1106926","None",0,1,"2012-06-17 00:50:36"
11023016,"2012-06-13 20:45:31","None","1404505","None",1,0,"2012-06-17 12:33:57"
11070828,"2012-06-17 11:07:02","None","367391","367391",3,0,"2012-06-17 18:01:18"
11074204,"2012-06-17 19:34:13","None","677667","677667",2,0,"2012-06-17 19:52:16"
11075181,"2012-06-17 22:05:33","None","166749","None",7,0,"2012-06-17 23:05:11"
11075556,"2012-06-17 23:18:42","None","163740","None",5,1,"2012-06-18 09:32:06"
11091546,"2012-06-18 21:44:46","None","1445740","None",3,5,"2012-06-18 21:54:56"
11092589,"2012-06-18 23:42:17","None","1060350","1060350",9,0,"2012-06-19 06:06:18"
11049081,"2012-06-15 10:36:11","None","1343781","1343781",4,0,"2012-06-19 09:46:11"
11099272,"2012-06-19 10:40:16","None","203420","None",16,1,"2012-06-19 12:37:30"
10958793,"2012-06-09 05:59:03","None","702361","None",3,1,"2012-06-19 12:54:46"
11095113,"2012-06-19 05:51:00","None","769220","None",2,1,"2012-06-19 14:08:23"
11083921,"2012-06-18 13:27:32","None","163740","None",3,0,"2012-06-19 14:10:45"
11108554,"2012-06-19 20:06:20","None","1855677","None",4,2,"2012-06-19 20:45:57"
10915321,"2012-06-06 13:35:36","None","223478","None",1,0,"2012-06-20 07:20:14"
11115273,"2012-06-20 08:05:13","None","429846","429846",4,1,"2012-06-20 08:12:16"
11110419,"2012-06-19 22:30:32","None","163740","None",2,6,"2012-06-20 08:28:54"
11102429,"2012-06-19 13:50:20","None","163740","163740",7,0,"2012-06-20 14:04:58"
11084247,"2012-06-18 13:46:34","None","1346759","None",0,0,"2012-06-20 14:45:33"
11055502,"2012-06-15 17:29:29","None","583830","583830",28,2,"2012-06-20 19:59:02"
11122473,"2012-06-20 15:05:30","None","461847","None",0,0,"2012-06-21 13:13:46"
11116697,"2012-06-20 09:36:19","None","979377","979377",42,3,"2012-06-21 14:55:49"
11137479,"2012-06-21 11:47:50","None","1415677","1415677",4,1,"2012-06-21 18:59:42"
11145016,"2012-06-21 19:04:23","None","1415677","None",2,0,"2012-06-21 19:19:26"
11145546,"2012-06-21 19:39:40","None","929271","None",3,2,"2012-06-21 19:52:08"
10792328,"2012-05-29 02:08:01","None","458193","None",2,0,"2012-06-22 08:45:36"
11148175,"2012-06-21 23:16:52","None","18627","None",2,2,"2012-06-22 08:56:42"
11141761,"2012-06-21 15:41:00","None","163740","-1",6,0,"2012-06-22 14:31:16"
11167363,"2012-06-23 06:13:42","None","278064","None",12,1,"2012-06-23 06:39:14"
11161372,"2012-06-22 17:37:25","None","18627","None",1,0,"2012-06-23 08:14:59"
